gutenberg_id,title,authors
13889,Dave Ranney,Dave Ranney
36799,The History of the Last Trial by Jury for Atheism in England,George Jacob Holyoake
72556,"Wesblock, the autobiography of an automaton",Harry McDonald Walters
16279,Zuchthausgeschichten von einem ehemaligen Züchtling (German),Joseph M. Hägele
57072,Autobiography of a Child,Hannah Lynch
33629,The Autobiography of a Monkey,Albert Bigelow Paine
2448,"Henry Ossian Flipper, the Colored Cadet at West Point",Henry Ossian Flipper
3269,"The Autobiography of Mark Rutherford, Edited by his friend Reuben Shapcott",William Hale White
71041,Sorrisi di gioventù :  Ricordi e note (Italian),Anton Giulio Barrili
48668,Anthon L. Skanchy :   a brief autobiographical sketch of the missionary labors of a valiant soldier for Christ,Anthon L. Skanchy
48704,"Autobiography of Matthew Scott, Jumbo's Keeper; Also Jumbo's Biography, by the same Author",Matthew Scott
74547,Jääkärit ja aktivistit :  Sotavuosien muistelmia Tukholmasta ja Berliinistä (Finnish),Herman Gummerus
10655,Autobiography of Sir George Biddell Airy,George Biddell Airy
67785,The Cat,Violet Hunt
71161,Elämäni taipaleelta :  Muistelmia (Finnish),Viktor Lounasmaa
9012,A Burlesque Autobiography,Mark Twain
12549,Recollections of a Long Life: An Autobiography,Theodore L. Cuyler
11594,"The Autobiography of a Journalist, Volume II",William James Stillman
12193,The Gentleman from Everywhere,James Henry Foss
11546,"The Autobiography of a Journalist, Volume I",William James Stillman
14267,Heräämiseni (Finnish),Arvid Järnefelt
14505,Elämäni (Finnish),Pietari Päivärinta
